ID;X;Y;CATEGORY;STORE
1;1548284;6606407;DIY;OBI
3;1581044;6619031;DIY;Hagebau Baumarkt
4;1581044;6619031;DIY;WerkersWelt
6;1549925;6768325;DIY;toom BauMarkt
7;1363851;6621845;DIY;toom BauMarkt
8;1351880;6709585;DIY;Hagebau Baumarkt
9;1268103;6661503;DIY;Eurobaustoff
11;1314397;6640637;DIY;Das Futterhaus
12;1352422;6620451;DIY;toom BauMarkt
13;1440439;6756412;DIY;Hagebau Baumarkt
14;1236571;6554820;DIY;i & M Bauzentrum
15;1347922;6592343;DIY;Hagebau Baumarkt
16;1289643;6603219;DIY;OBI
17;1379671;6531693;DIY;Eurobaustoff
18;1384609;6500805;DIY;Eurobaustoff
19;1420412;6534705;DIY;OBI
20;1429786;6584244;DIY;raab karcher
21;1429114;6590131;DIY;Hagebau Baumarkt
22;1413884;6599719;DIY;Eurobaustoff
23;1441232;6549741;DIY;toom BauMarkt
25;1488698;6871857;DIY;Hagebau Baumarkt
26;1487041;6866719;DIY;Bauhaus
27;1507377;6865713;DIY;Eurobaustoff
28;1510184;6884228;DIY;Fressnapf
29;1468809;6888706;DIY;Bauhaus
30;1448948;6863291;DIY;Fressnapf
31;1459468;6861881;DIY;Fressnapf
32;1449082;6849825;DIY;Hagebau Baumarkt
33;1371793;6902130;DIY;Hagebau Baumarkt
34;1602246;6836363;DIY;EMV-Profi
35;1516521;6885770;DIY;Hagebau Baumarkt
36;1583593;6824943;DIY;EMV-Profi
37;1548369;6782026;DIY;Hagebau Baumarkt
38;1493906;6768619;DIY;WerkersWelt
39;1509652;6912789;DIY;Hagebau Baumarkt
40;1475980;7084294;DIY;OBI
41;1429957;7142925;DIY;Sonderpreis Baumarkt
42;1380932;7065259;DIY;EMV-Profi
43;1543175;7031850;DIY;toom BauMarkt
44;1563746;7100307;DIY;Eurobaustoff
45;1343106;7185087;DIY;raab karcher
46;1341031;7187700;DIY;toom BauMarkt
47;1359388;7124106;DIY;Hagebau Baumarkt
48;1135178;7064923;DIY;Bauhaus
49;1135037;7064427;DIY;Das Futterhaus
50;1094115;7062908;DIY;Fressnapf
51;1153116;7014834;DIY;Kiebitzmarkt
52;1163228;7019317;DIY;Bauhaus
53;1135767;7040628;DIY;Kiebitzmarkt
